label,Hf ,Th ,U ,Y ,Ti ,Nb,Ta,La,Ce ,Pr,Nd ,Sm ,Eu ,Gd ,Tb ,Dy ,Ho ,Er ,Tm ,Yb ,Lu ,REE,T (?),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,?FMQ,(EuN/EuN*)/Y
barren,9937,1033,1395,1318,8.1,2.65,0.9,0.01,18.1,0.12,2.07,4.1,0.5,21.2,7.2,92,35,185,41,501,92,999,760,0.74,8,5.5,0.15,9,40,1.81,0.000114
barren,9479,421,658,855,7.5,1.22,0.66,0.01,12,0.07,1.27,2.5,0.3,13.6,4.5,59,22,118,26,315,58,632,752,0.64,11,5.4,0.18,9,43,1.9,0.000211
barren,10530,1466,1890,2492,7.5,2.99,1.29,0.16,26.6,0.36,5.85,10.3,0.8,46.9,14.8,184,69,345,74,865,148,1791,752,0.78,4,4.7,0.11,5,19,-1.27,0.000044
barren,11866,1238,2541,1917,7.5,13.65,0.42,0.01,38.3,0.14,2.48,4.8,0.3,28.5,9.8,130,51,276,64,787,146,1539,752,0.49,6,6.1,0.09,15,69,3.68,0.000047
barren,11654,1878,2346,2764,6.4,3.96,0.84,0.04,32.3,0.33,5.36,10.8,0.7,50.5,16.3,205,77,383,82,951,164,1978,737,0.8,4,4.6,0.09,6,28,-0.09,0.000033
barren,10269,1334,1773,1790,12.3,6.76,0.69,0.02,38.3,0.21,3.31,6.1,0.4,30.4,10.2,131,49,248,54,640,110,1321,801,0.75,6,4.9,0.09,12,49,3.64,0.00005
barren,11073,2212,2527,3240,8.3,4.92,0.4,0.03,36.6,0.45,7.07,13.3,0.9,63.6,20.2,249,90,448,94,1078,184,2286,762,0.88,3,4.3,0.09,5,23,-0.24,0.000028
barren,10736,1287,1614,2385,7.6,2.98,,0.01,25.9,0.27,4.17,8.7,0.6,45.1,14.6,181,66,324,69,797,137,1673,753,0.8,5,4.4,0.1,6,30,0.58,0.000042
barren,9820,1596,2304,2749,11,8.54,,0.04,35.5,0.34,4.95,8.8,0.6,44.6,15,197,75,383,85,1007,177,2035,790,0.69,4,5.1,0.1,7,30,1.46,0.000036
barren,10480,1530,2735,2425,9.8,13.66,,0.17,47.5,0.21,3,6.7,0.5,34.9,12.3,165,65,346,79,968,172,1901,778,0.56,4,5.9,0.1,16,83,5.02,0.000041
